timestamp,requests
0.5,0
1.5,0
2.5,1
3.5,1
4.5,1
5.5,1
6.5,2
7.5,2
8.5,2
9.5,2
10.5,3
11.5,3
12.5,3
13.5,3
14.5,4
15.5,4
16.5,4
17.5,4
18.5,5
19.5,5
20.5,5
21.5,6
22.5,6
23.5,6
24.5,6
25.5,7
26.5,7
27.5,7
28.5,7
29.5,8
30.5,8
31.5,8
32.5,8
33.5,9
34.5,9
35.5,9
36.5,10
37.5,10
38.5,10
39.5,10
40.5,11
41.5,11
42.5,11
43.5,11
44.5,12
45.5,12
46.5,12
47.5,12
48.5,13
49.5,13
50.5,13
51.5,13
52.5,14
53.5,14
54.5,14
55.5,15
56.5,15
57.5,15
58.5,15
59.5,16
60.5,16
61.5,16
62.5,16
63.5,17
64.5,17
65.5,17
66.5,17
67.5,18
68.5,18
69.5,18
70.5,19
71.5,19
72.5,19
73.5,19
74.5,20
75.5,20
76.5,20
77.5,20
78.5,21
79.5,21
80.5,21
81.5,21
82.5,22
83.5,22
84.5,22
85.5,22
86.5,23
87.5,23
88.5,23
89.5,24
90.5,24
91.5,24
92.5,24
93.5,25
94.5,25
95.5,25
96.5,25
97.5,26
98.5,26
99.5,26
100.5,26
101.5,27
102.5,27
103.5,27
104.5,28
105.5,28
106.5,28
107.5,28
108.5,29
109.5,29
110.5,29
111.5,29
112.5,30
113.5,30
114.5,30
115.5,30
116.5,31
117.5,31
118.5,31
119.5,31
120.5,32
121.5,32
122.5,32
123.5,33
124.5,33
125.5,33
126.5,33
127.5,34
128.5,34
129.5,34
130.5,34
131.5,35
132.5,35
133.5,35
134.5,35
135.5,36
136.5,36
137.5,36
138.5,37
139.5,37
140.5,37
141.5,37
142.5,38
143.5,38
144.5,38
145.5,38
146.5,39
147.5,39
148.5,39
149.5,39
150.5,40
151.5,40
152.5,40
153.5,40
154.5,41
155.5,41
156.5,41
157.5,42
158.5,42
159.5,42
160.5,42
161.5,43
162.5,43
163.5,43
164.5,43
165.5,44
166.5,44
167.5,44
168.5,44
169.5,45
170.5,45
171.5,45
172.5,46
173.5,46
174.5,46
175.5,46
176.5,47
177.5,47
178.5,47
179.5,47
180.5,48
181.5,48
182.5,48
183.5,48
184.5,49
185.5,49
186.5,49
187.5,49
188.5,50
189.5,50
190.5,50
191.5,51
192.5,51
193.5,51
194.5,51
195.5,52
196.5,52
197.5,52
198.5,52
199.5,53
200.5,53
201.5,53
202.5,53
203.5,54
204.5,54
205.5,54
206.5,54
207.5,55
208.5,55
209.5,55
210.5,56
211.5,56
212.5,56
213.5,56
214.5,57
215.5,57
216.5,57
217.5,57
218.5,58
219.5,58
220.5,58
221.5,58
222.5,59
223.5,59
224.5,59
225.5,60
226.5,60
227.5,60
228.5,60
229.5,61
230.5,61
231.5,61
232.5,61
233.5,62
234.5,62
235.5,62
236.5,62
237.5,63
238.5,63
239.5,63
240.5,63
241.5,64
242.5,64
243.5,64
244.5,65
245.5,65
246.5,65
247.5,65
248.5,66
249.5,66
250.5,66
251.5,66
252.5,67
253.5,67
254.5,67
255.5,67
256.5,68
257.5,68
258.5,68
259.5,69
260.5,69
261.5,69
262.5,69
263.5,70
264.5,70
265.5,70
266.5,70
267.5,71
268.5,71
269.5,71
270.5,71
271.5,72
272.5,72
273.5,72
274.5,72
275.5,73
276.5,73
277.5,73
278.5,74
279.5,74
280.5,74
281.5,74
282.5,75
283.5,75
284.5,75
285.5,75
286.5,76
287.5,76
288.5,76
289.5,76
290.5,77
291.5,77
292.5,77
293.5,78
294.5,78
295.5,78
296.5,78
297.5,79
298.5,79
299.5,80
300.5,80
